Date,Sentiment,Sentiment_coverage,Sentiment_Trends,Sentiment_Wiki,trend_generative_ai,trend_machine_learning,trend_chatgpt,large_language_model,trend_artificial_intelligence,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment_Trends_z,Sentiment_Wiki_z,Sentiment_Consumer_z,Sentiment_EPU_z,Sentiment_VIX_z
1991-08-31,-0.3618377077137878,macro,,,,,,,,,,,,,82.0,100.59554,15.681363636363637,,,-0.16262589174981165,-0.4115621658249769,-0.5113250655665751
1991-09-30,-0.16633888886732423,macro,,,,,,,,,,,,,83.0,117.04782,16.9565,,,-0.09136372149977652,-0.0695761510274078,-0.33807679407478836
1991-10-31,-0.3845466110582865,macro,,,,,,,,,,,,,78.3,105.54142,16.36391304347826,,,-0.42629592167494185,-0.3087544218000149,-0.41858948969990295
1991-11-30,-0.42348015729785843,macro,,,,,,,,,,,,,69.1,122.24914,17.773500000000002,,,-1.0819078879752653,0.038541307372697856,-0.22707389129100788
1991-12-31,-0.29587072940688786,macro,,,,,,,,,,,,,68.2,139.99912,18.347619047619048,,,-1.1460438412002962,0.4075020181639412,-0.1490703651843086
1992-01-31,-0.5559866630065836,macro,,,,,,,,,,,,,67.5,109.20085,17.68318181818182,,,-1.195927360375321,-0.2326875251674103,-0.23934510347701962
1992-02-29,-0.4212384072560394,macro,,,,,,,,,,,,,68.8,125.53676,17.47736842105263,,,-1.1032865390502757,0.10687955969813757,-0.26730824241598006
1992-03-31,-0.482667301065292,macro,,,,,,,,,,,,,76.0,91.70582,17.520454545454545,,,-0.5901989132500225,-0.5963487069892559,-0.2614542829565976
1992-04-30,-0.5261022016140647,macro,,,,,,,,,,,,,77.2,87.58229,16.562857142857144,,,-0.5046843089499801,-0.682062637921517,-0.3915596579706973
1992-05-31,-0.48149945358876556,macro,,,,,,,,,,,,,79.2,96.87494,15.077000000000002,,,-0.36215996844990983,-0.4889005752524749,-0.5934378170639121
1992-06-30,-0.27077297538564943,macro,,,,,,,,,,,,,80.4,122.34916,15.203181818181816,,,-0.27664536414986746,0.040620377337471925,-0.5762939393445528
1992-07-31,-0.4434998246336886,macro,,,,,,,,,,,,,76.6,120.91493,13.601818181818182,,,-0.5474416111000018,0.010807694718216887,-0.7938655575192809
1992-08-31,-0.45293174711806694,macro,,,,,,,,,,,,,76.1,115.90751,14.421904761904763,,,-0.5830726962250193,-0.09327925312230381,-0.6824432920068777
1992-09-30,-0.4206597702278508,macro,,,,,,,,,,,,,75.6,127.01963,13.696666666666667,,,-0.6187037813500369,0.13770329973677495,-0.7809788290702904
1992-10-31,-0.21715263737494642,macro,,,,,,,,,,,,,73.3,138.52178,17.63681818181818,,,-0.7826067729251175,0.3767932277044402,-0.24564436690416197
1992-11-30,-0.2143956013213536,macro,,,,,,,,,,,,,85.3,118.77686,14.4245,,,0.0725392700753041,-0.03363538786111182,-0.6820906861782531
1992-12-31,-0.26264882168564924,macro,,,,,,,,,,,,,91.0,106.86792,12.191363636363635,,,0.4787336405005046,-0.2811810733869698,-0.9854990321704824
1993-01-31,-0.32322872301686395,macro,,,,,,,,,,,,,89.3,102.53033,12.409,,,0.35758795107544467,-0.3713445715723754,-0.9559295485536612
1993-02-28,-0.2071344674449387,macro,,,,,,,,,,,,,86.6,119.96253,13.72157894736842,,,0.16518009140034956,-0.008989408205706352,-0.7775940855294594
1993-03-31,-0.21793900519203468,macro,,,,,,,,,,,,,85.9,121.55786,13.60608695652174,,,0.11529657222532579,0.02417198638440561,-0.7932855741858355
1993-04-30,-0.3449491568507442,macro,,,,,,,,,,,,,85.6,109.25684,12.840952380952379,,,0.09391792115031443,-0.23152368666183454,-0.8972417050407124
1993-05-31,-0.267599085156176,macro,,,,,,,,,,,,,80.3,133.58967,13.606,,,-0.2837715811748716,0.27427171436749015,-0.7932973886611464
1993-06-30,-0.3403423510305366,macro,,,,,,,,,,,,,81.5,126.04877,12.524090909090908,,,-0.1982569768748292,0.11752247724126866,-0.9402925534580493
1993-07-31,-0.5522415467946579,macro,,,,,,,,,,,,,77.0,117.5845,11.50047619047619,,,-0.5189367429999874,-0.05842042948476686,-1.0793674678992193
1993-08-31,-0.6057674063403825,macro,,,,,,,,,,,,,77.3,106.03237,11.928636363636365,,,-0.497558091924977,-0.29854926883854904,-1.0211948582576216
1993-09-30,-0.5444206961501931,macro,,,,,,,,,,,,,77.9,106.27469,12.931428571428572,,,-0.4548007897749553,-0.29351227389889634,-0.8849490247767275
1993-10-31,-0.6291936455662896,macro,,,,,,,,,,,,,82.7,84.48769,11.875238095238094,,,-0.11274237257478685,-0.7463886718446302,-1.028449892279452
1993-11-30,-0.5643235961667732,macro,,,,,,,,,,,,,81.2,84.55661,14.083809523809524,,,-0.21963562794983957,-0.7449560633466075,-0.7283790972038725
1993-12-31,-0.5703213210069339,macro,,,,,,,,,,,,,88.2,77.52033,11.356363636363637,,,0.2791995638004064,-0.8912159954775851,-1.098947531343623
1994-01-31,-0.41115638178990493,macro,,,,,,,,,,,,,94.3,80.0098,11.29047619047619,,,0.7138988023256203,-0.839468521920236,-1.1078994257750991
1994-02-28,-0.2296452993580017,macro,,,,,,,,,,,,,93.2,94.5927,13.64421052631579,,,0.635510415050582,-0.5363404536408566,-0.7881058594837306
1994-03-31,-0.2510688901632693,macro,,,,,,,,,,,,,91.5,87.00632,15.223478260869564,,,0.5143647256255222,-0.6940350627126679,-0.5735363334026621
1994-04-30,-0.07552206340106975,macro,,,,,,,,,,,,,92.6,100.41637,16.471052631578946,,,0.5927531129005604,-0.41528649061590434,-0.4040328124878653
1994-05-31,-0.21428736647290667,macro,,,,,,,,,,,,,92.8,96.5273,13.897142857142857,,,0.6070055469505676,-0.4961268088312996,-0.7537408375379879
1994-06-30,-0.30315520498801724,macro,,,,,,,,,,,,,91.2,92.37979,13.408636363636363,,,0.4929860745505118,-0.5823392010488564,-0.8201124884657071
1994-07-31,-0.4458303602741874,macro,,,,,,,,,,,,,89.0,85.37095,12.4845,,,0.3362093000004343,-0.7280287504580444,-0.945671630364952
1994-08-31,-0.3570026734411987,macro,,,,,,,,,,,,,91.7,92.82606,11.889130434782608,,,0.5286171596755294,-0.5730627907991092,-1.0265623892000164
1994-09-30,-0.31609214509921674,macro,,,,,,,,,,,,,91.5,90.63002,13.233333333333333,,,0.5143647256255222,-0.6187108692378455,-0.8439302916853268
1994-10-31,-0.2943822314364775,macro,,,,,,,,,,,,,92.7,76.49899,15.245238095238093,,,0.5998793299255645,-0.9124461226303777,-0.5705799016046192
1994-11-30,-0.16310005211259862,macro,,,,,,,,,,,,,91.6,91.77528,16.383809523809525,,,0.5214909426505252,-0.5949048737583702,-0.41588622522995083
1994-12-31,-0.1797615505515354,macro,,,,,,,,,,,,,95.1,91.795,14.177142857142858,,,0.7709085385256482,-0.5944949631434396,-0.7156982270368147
1995-01-31,-0.09458480815538668,macro,,,,,,,,,,,,,97.6,107.95494,12.274285714285714,,,0.949063964150736,-0.2585856861333337,-0.9742327024835624
1995-02-28,-0.34027902981299807,macro,,,,,,,,,,,,,95.1,86.32307,11.47,,,0.7709085385256482,-0.708237467765976,-1.0835081601986665
1995-03-31,-0.4797536702085256,macro,,,,,,,,,,,,,90.3,78.09662,12.166521739130435,,,0.4288501213254798,-0.8792369189928857,-0.9888742129581709
